,text,label,language,text_en
0,Adjoint directeur communication,Marketing,nl,Deputy communications director
1,Advisor Strategy and Projects,Project Management,en,Advisor Strategy and Projects
2,Beratung & Projekte,Project Management,de,Consulting & Projects
3,Beratung & Projektmanagement,Project Management,de,Consulting & Project Management
4,Beratung und Projektmanagement kommunale Partner,Project Management,de,Consulting and project management municipal partners
5,Cadre marketing digital,Marketing,pt,Cadre marketing digital
6,Chargé de communication,Marketing,fr,Communications Officer
7,Chargé de communication digitale,Marketing,fr,Digital communication manager
8,Chargé de communication et marketing,Marketing,fr,Communications and Marketing Manager
9,Chargé de Webmarketing SEO/SEA,Marketing,pt,SEO/SEA Web Marketing Manager
10,Chargée data marketing & communication,Marketing,nl,Data marketing & communications manager
11,Chargée de communication - Graphiste,Marketing,fr,Communication Officer - Graphic Designer
12,Chargée de communication & marketing,Marketing,fr,Communications & Marketing Manager
13,Chargée de communication / Chef de projet événementiel,Marketing,fr,Communications Officer / Event Project Manager
14,Chargée de communication et événementiel,Marketing,fr,Communications and events manager
15,Chargée de communication et événementiels,Marketing,fr,Communications and events manager
16,Chargée de communication et marketing,Marketing,fr,Communications and Marketing Manager
17,Chargée de communication et webmarketing Groupe JLC,Marketing,nl,Communications and web marketing manager JLC Group
18,Chargée de communication événementielle,Marketing,fr,Event Communication Officer
19,Chargée de communication France,Marketing,fr,Communications Officer France
20,Chargée de communication marketing digital,Marketing,fr,Digital Marketing Communication Officer
21,Chargée de communication online / offline,Marketing,fr,Communication Officer online / offline
22,Chargée de communication/marketing,Marketing,fr,Communications/Marketing Manager
23,Chargée de marketing,Marketing,pt,Marketing manager
24,Chargée de marketing digital,Marketing,pt,Digital marketing manager
25,Chargée de marketing digital et communication,Marketing,fr,Digital Marketing and Communication Manager
26,Chargée de marketing et communication,Marketing,fr,Marketing and Communications Manager
27,Chargée de marketing opérationnel,Marketing,fr,Operational Marketing Manager
28,Chargée de mission marketing,Marketing,fr,Marketing Project Manager
29,Chargée de missions commerciale et marketing,Marketing,fr,Sales and marketing manager
30,Chargée de projet marketing et communication,Marketing,fr,Marketing and communication project manager
31,Chargée de projets évènementiels et communication,Marketing,fr,Responsible for events and communication projects
32,Chargée de projets marketing,Marketing,fr,Marketing Project Manager
33,Chargée marketing & communication,Marketing,fr,Marketing & Communication Manager
34,Chef de projet communication et marketing,Marketing,fr,Communication and Marketing Project Manager
35,Chef de projet marketing,Marketing,fr,Marketing Project Manager
36,Chef de projet marketing digital,Marketing,fr,Digital Marketing Project Manager
37,Chef de projet marketing digital senior,Marketing,fr,Senior Digital Marketing Project Manager
