,text,label,language,text_en
0,Analyst,Junior,en,Analyst
1,Analyste financier,Junior,nl,Financial analyst
2,Anwendungstechnischer Mitarbeiter,Junior,de,Application of technical staff
3,Application Engineer,Senior,en,Application Engineer
4,Applications Engineer,Senior,en,Applications Engineer
5,Architecte SI - Chef de projet Applicatif,Lead,fr,Architecte SI - Application Project Manager
6,Associate,Junior,en,Associate
7,Associate - Research,Junior,en,Associate - Research
8,Associate Partner,Junior,en,Associate Partner
9,Associate Recruiter,Junior,en,Associate Recruiter
10,Associated Partner,Junior,en,Associated Partner
11,BI Analyst,Junior,pt,BI Analyst
12,Call-Center-Agent- Service - Mitarbeiter,Junior,de,Call Center Agent Service - Employees
13,Chargée de communication / Chef de projet événementiel,Lead,fr,Communications Officer / Event Project Manager
14,Chef de marché Résidences services senior - Solutions logicielles métier,Lead,fr,Senior Services Residences Market Manager - Business Software Solutions
15,Chef de projet,Lead,fr,Project Manager
16,Chef de projet communication et marketing,Lead,fr,Communication and Marketing Project Manager
17,Chef de projet ERP,Lead,fr,ERP Project Manager
18,Chef de projet Évènementiel,Lead,fr,Event Project Manager
19,Chef de Projet Événementiel / Event Coordinator,Lead,nl,Event Project Manager / Event Coordinator
20,Chef de projet marketing,Lead,fr,Marketing Project Manager
21,Chef de projet marketing digital,Lead,fr,Digital Marketing Project Manager
22,Chef de projet marketing digital senior,Lead,fr,Senior Digital Marketing Project Manager
23,Chef de projet marketing et communication,Lead,fr,Marketing and communication project manager
24,Chef de Projet Systèmes et Services,Lead,fr,Systems and Services Project Manager
25,Chef de projets marketing,Lead,fr,Marketing Project Manager
26,Chef des ventes,Lead,fr,Head of Sales
27,Chef des Ventes France,Lead,fr,Head of Sales France
28,Chef des ventes Ouest,Lead,fr,Head of Sales West
29,Chef des Ventes SM3 CLAAS,Lead,fr,Head of Sales SM3 CLAAS
30,Clinical Research Associate II,Junior,en,Clinical Research Associate II
31,Cloud Systems Analyst,Junior,en,Cloud Systems Analyst
32,Commercial team leader sales and marketing europe,Lead,en,Commercial team leader sales and marketing europe
33,Data Analyst,Junior,en,Data Analyst
34,Data Analyst - Monetization and Payment,Junior,en,Data Analyst - Monetization and Payment
35,Data Engineering & visualization,Senior,en,Data Engineering & visualization
36,DevOps as a Service. We're hiring Engineers in North America,Senior,en,DevOps as a Service. We're hiring Engineers in North America
37,Directeur Commercial - Responsable Filiale Europe du Sud / Groupe EControls,Senior,fr,Sales Manager - Head of Southern Europe Subsidiary / EControls Group
38,Directeur de projets et Responsable des infrastructures informatiques,Senior,fr,Project Manager and IT Infrastructure Manager
39,Engineer,Senior,en,Engineer
40,Group leader in Energy Impact Research,Lead,en,Group leader in Energy Impact Research
41,Investment Analyst,Junior,en,Investment Analyst
42,Lead Engineer,Senior,en,Lead Engineer
43,Lead Solution Engineer,Senior,en,Lead Solution Engineer
44,Market- and Customer Analyst,Junior,en,Market- and Customer Analyst
45,Market Research Analyst,Junior,en,Market Research Analyst
46,Microsoft System Engineering,Senior,en,Microsoft System Engineering
47,Mitarbeiter,Junior,de,Staff
48,Mitarbeiter Auftragsabwicklung,Junior,de,Employees Order processing
49,Mitarbeiter Customer Service,Junior,de,Employee Customer Service
50,Mitarbeiter Datenmanagement,Junior,de,Employees Data management
51,Mitarbeiter Projektmanagement,Junior,de,Staff Project management
52,Mitarbeiter Verkaufsinnendienst,Junior,de,Staff Internal Sales Service
53,Mitarbeiterin Event- und Kundenmanagement,Junior,de,Employee Event and Customer Management
54,Mitarbeiterin in der Verwaltung,Junior,de,Employee in administration
55,Mitarbeiterin Presse- und Öffentlichkeitsarbeit,Junior,de,Staff member Press and Public Relations
56,Presales Associate,Junior,en,Presales Associate
57,Principal Cloud Engineer,Senior,en,Principal Cloud Engineer
58,Project Engineer,Senior,en,Project Engineer
59,PR-Referent,Junior,nl,PR-Referent
60,PR-Referentin,Junior,tr,PR representative
